Issue,Volume,title,authors,views,citations
351a,70,"Estimating a Response Surface with an Uncertain Number of Parameters, Assuming Normal Errors",Corwin L. Atwood,13,0
351a,70,Linear Models for Cell Means and Reciprocal within Cell Variances,Richard M. Heiberger,13,0
351a,70,On the Relationship between Two Statistics Pertaining to Tests of Three-Factor Interaction in Contingency Tables,Leo A. Goodman,15,0
351a,70,Clustering by Identification with Special Application to Two-Way Tables of Counts,William S. Cleveland & Daniel A. Relles,17,1
351a,70,Estimation of a Model with Multiple Indicators and Multiple Causes of a Single Latent Variable,Karl G. Jöreskog & Arthur S. Goldberger,93,81
351a,70,Selecting the Maximum of a Sequence with Imperfect Information,E. G. Enns,13,2
351a,70,A Modified Play-the-Winner Rule for Sequential Trials,Bartholomew P. Hsi & Thomas A. Louis,13,1
351a,70,An Approximation for the Distribution of the Wilcoxon One-Sample Statistic,Winston K. Chow & J. L. Hodges Jr.,18,0
351a,70,A Two-Sample Adaptive Distribution-Free Test,"Robert V. Hogg, Doris M. Fisher & Ronald H. Randles",35,44
351a,70,A Simulation Analysis of the Power of Several Tests for Detecting Heavy-Tailed Distributions,V. Kerry Smith,16,7
351a,70,Comparison of Some Density Estimate Classification Procedures,Matthew Goldstein,18,3
351a,70,Bounds on Moments of Linear Functions of Order Statistics from Weibull and other Restricted Families,Jagdish K. Patel,20,0
351a,70,Order Statistics of Samples from Multivariate Distributions,Janos Galambos,33,8
351a,70,Multivariate Distributions Which Have Beta Conditional Distributions,Ian R. James,28,1
351a,70,Some Estimators of the Integer-Valued Parameter of a Poisson Variate,A. E. Stark,18,2
351a,70,Estimation of Stable Law Parameters: Stock Price Behavior Application,R. A. Leitch & A. S. Paulson,18,9
351a,70,Simultaneous Estimation of the Means of Independent Poisson Laws,M. Lawrence Clevenson & James V. Zidek,35,22
351a,70,A Full Rank Analysis of Some Linear Model Problems,R. R. Hocking & F. M. Speed,25,20
351a,70,On Estimating the Variance in Unequal Probability Sampling,K. Vijayan,11,3
351a,70,Aberrant Behavior of the Likelihood Function in Discrete Cases,Bruce M. Hill,13,3
351a,70,Remark on a Formula by Fisher,Ester Samuel-Cahn,16,1
351a,70,A Quick and Simple Technique for General Slippage Problems,Henry R. Neave,17,0
351a,70,Book Reviews,,20,0
351a,70,Editorial Board Page,,11,0
350,70,Cognitive Processes and the Assessment of Subjective Probability Distributions,Robin M. Hogarth,69,107
350,70,Comment,Robert L. Winkler,15,0
350,70,Comment,Ward Edwards,18,1
350,70,Rejoinder,Robin M. Hogarth,14,0
350,70,"Natural Fertility, Population Cycles and the Spectral Analysis of Births and Marriages",Ronald Demos Lee,24,11
350,70,Analyzing the Decision-Making Process of the American Jury,Alan E. Gelfand & Herbert Solomon,20,10
350,70,Data Analysis Using Stein's Estimator and its Generalizations,Bradley Efron & Carl Morris,103,222
350,70,The Predictive Sample Reuse Method with Applications,Seymour Geisser,92,521
350,70,Use of the Randomized Response Technique with a New Randomizing Device,"P. T. Liu, L. P. Chow & W. H. Mosley",23,9
350,70,An Algorithm for the Binomial Distribution with Dependent Trials,Daniel W. Ladd,20,2
350,70,Mortality–Air Pollution Relationships: A Comment,V. Kerry Smith,16,0
350,70,Tables for Comparing Two Normal Variances or Two Gamma Means,S. John,19,2
350,70,An Analytical Comparison of Certainty Equivalence and Sequential Updating,R. Harkema,12,1
350,70,A Bayesian Sequential Procedure for Quantal Response in the Context of Adaptive Mental Testing,Roger J. Owen,25,68
350,70,A Secretary Problem with Finite Memory,M. H. Smith & J. J. Deely,22,8
350,70,Population-Distributed Personal Probabilities,James Dickey & Peter Freeman,14,5
350,70,Iterative Reclassification Procedure for Constructing an Asymptotically Optimal Rule of Allocation in Discriminant Analysis,G. J. McLachlan,18,27
350,70,A Bayesian Analysis of a Switching Regression Model: Known Number of Regimes,Pedro E. Ferreira,23,36
350,70,Residual Optimality: Ordinary Vs. Weighted Vs. Biased Least Squares,R. L. Obenchain,21,3
350,70,Estimating Heteroscedastic Variances in Linear Models,"Susan D. Horn, Roger A. Horn & David B. Duncan",31,52
350,70,Stable Distributions in Statistical Inference: 2. Information from Stably Distributed Samples,W. H. Dumouchel,30,45
350,70,Life Tests with Periodic Change in Failure Rate—Grouped Observations,T. N. Srivastava,14,0
350,70,Improved Estimation of Expected Life When One Identified Spurious Observation May Be Present,James R. Veale,14,6
350,70,Exact Variance of Combined Inter- and Intra-Block Estimates in Incomplete Block Designs,C. G. Khatri & K. R. Shah,17,7
350,70,A Monte Carlo Evaluation of Some Ridge-Type Estimators,Gary C. McDonald & Diane I. Galarneau,32,179
350,70,Estimation with Incompletely Specified Loss Functions (the Case of Several Location Parameters),Lawrence D. Brown,15,15
350,70,One-Step Huber Estimates in the Linear Model,P. J. Bickel,72,78
350,70,On the Robustness of Some Tests of Significance in Sampling from a Compound Normal Population,"Kocherlakota Subrahmaniam, Kathleen Subrahmaniam & J. Y. Messeri",14,14
350,70,Bias in the Estimator of Kendall's Rank Correlation When Extreme Pairs are Removed from a Sample,Sandra A. West,12,0
350,70,A Multivariate Extension of Friedman's χr 2-Test with Random Covariates,Thomas M. Gerig,12,1
350,70,Double Sample Tests for the Mean of a Normal Population,John D. Spurrier & John E. Hewett,14,9
350,70,Optimum Double Sampling Tests of Given Strength I. The Normal Distribution,A. Hald,13,3
350,70,A Two-Stage Procedure for the Behrens-Fisher Problem,B. K. Ghosh,16,23
350,70,On the Distribution of the Difference of Two t-Variables,B. K. Ghosh,17,23
350,70,On Bounding Moments from Grouped Data,Joseph L. Gastwirth & Abba M. Krieger,18,10
350,70,Most Stringent Bounds on Aggregated Probabilities of Partially Specified Dependent Probability Systems,Seymour M. Kwerel,21,43
350,70,On Independence of Sample Mean and Translation Invariant Statistics of Samples from Multivariate Normal Populations,"J. P. Basu, P. L. Odell, T. O. Lewis & A. Kinderman",11,3
350,70,Book Reviews,,17,0
350,70,Corrigenda,,11,0
350,70,Editorial Board Page,,9,0
349,70,A Statistician's Apology,Jerome Cornfield,35,6
349,70,Advocate Scoring for Unbiased Information,Stanley L. Warner,13,1
349,70,The Effects of Rotation Group Bias on Estimates from Panel Surveys,Barbara A. Bailar,23,56
349,70,Measuring the Power of Hierarchical Cluster Analysis,Frank B. Baker & Lawrence J. Hubert,49,46
349,70,An Investigation of Imputation and Differential Quality of Data in the 1970 Census,Richard C. Rockwell,15,4
349,70,Two Simultaneous Measurement Procedures: A Bayesian Approach,Norman Draper & Irwin Guttman,17,3
349,70,Implementation and Applications of Bivariate Gaussian Mixture Decomposition,Michael Tarter & Abraham Silvers,22,13
349,70,Estimates of Percentile Regression Lines Using Salary Data,Robert V. Hogg,22,15
349,70,On the Small-Sample Power of Durbin's h Test,Soo-Bin Park,17,3
349,70,Bounds on the Gini Index Based on Observed Points of the Lorenz Curve,Farhad Mehran,26,8
349,70,Finite Population Correction for Binomial Confidence Limits,Herman Burstein,28,4
349,70,Intervention Analysis with Applications to Economic and Environmental Problems,G. E. P. Box & G. C. Tiao,587,588
349,70,On the Choice of the Unrelated Question in Simmons' Version of Randomized Response,Jan Lanke,24,24
349,70,On the Relative Efficiency of Randomized Response Models,T. A. Dowling & Richard H. Shachtman,20,18
349,70,“Explaining Your Results” as Access-Biased Memory,Edward E. Leamer,14,0
349,70,A Comparative Monte Carlo Study of the Properties of Econometric Estimators,W. M. Mikhail,18,8
349,70,Testing the Restrictions of the Almon Lag Technique,L. G. Godfrey & D. S. Poskitt,17,10
349,70,On the Iterative Refinement of Least Squares Solutions,R. H. Fletcher,16,3
349,70,A Simple Method for Robust Regression,Melvin J. Hinich & Prem P. Talwar,23,25
349,70,Estimation Methods for Models of Spatial Interaction,Keith Ord,225,296
349,70,Linear Regression with Random Coefficients: The Finite Sample and Convergence Properties,Baldev Raj,14,7
349,70,Bayesian Analysis of Regression Error Terms,Arnold Zellner,25,19
349,70,Best Linear Unbiased Prediction of Order Statistics in Location and Scale Families,Kenneth S. Kaminsky & Paul I. Nelson,25,25
349,70,Optimal Condensation of Distributions and Optimal Spacing of Order Statistics,Eve Bofinger,12,5
349,70,A Unified Approach to Choosing Optimum Quantiles for the ABLE's,Smiley W. Cheng,15,11
349,70,An Unbiased Estimator and a Sequential Test for the Correlation Coefficient,Meena Pradhan & Y. S. Sathe,13,3
349,70,A Note on Exact Tests for Serial Correlation,Christopher A. Sims,13,2
349,70,Subset Selection Problems for Variances with Applications to Regression Analysis,J. N. Arvesen & G. P. McCabe Jr.,16,8
349,70,A Two-Stage Minimax Procedure for Selecting the Normal Population with the Smallest Variance,John B. Ofosu,15,0
349,70,Allocation in Stratified Sampling Subsequent to Preliminary Test of Significance,B. V. Sukhatme & Victor K. T. Tang,24,4
349,70,An Empirical Comparison of Several Multiple Range Tests for Variances,Kenneth J. Levy,13,6
349,70,On the Test for Additivity in a Randomized Block Design,J. Robinson,15,0
349,70,Cochran's Q Test: Exact Distribution,Kashinath D. Patil,41,12
349,70,Testing for Equality of Means with Incomplete Data on One Variable: A Monte Carlo Study,Pi-Erh Lin & Lawrence E. Stivers,15,0
349,70,Minimum Variance Properties of Principal Component Regression,Edward Greenberg,21,18
349,70,The Power of the Likelihood Ratio Test of Location in Nonlinear Regression Models,A. R. Gallant,19,18
349,70,The Asymptotic Distribution of the Likelihood Ratio in Some Nonstandard Cases,Lionel Weiss,21,6
349,70,A Simulation Study of One- and Two-Sample Kolmogorov-Smirnov Statistics with a Particular Weight Function,Paul L. Canner,17,13
349,70,Stronger Forms of Zipf's Law,Bruce M. Hill & Michael Woodroofe,23,0
349,70,Johnson's S U  and the Skewness and Kurtosis Statistics,L. R. Shenton & K. O. Bowman,23,2
349,70,A Note on Chernoff and Lieberman's Generalized Probability Paper,G. W. Cran,17,2
349,70,Bounds on the Power for Some Renyi-Type Tests,George C. S. Yu,14,2
349,70,Bounds on Conditional Moments of Weibull and other Monotone Failure Rate Families,Jagdish K. Patel & Campbell B. Read,23,3
349,70,Some Inequalities for Certain Functions of Order Statistics from IFR Distributions,Robert A. Brown & Nozer D. Singpurwalla,17,0
349,70,Book Reviews,,16,0
349,70,Editorial Board Page,,11,0
348,69,Forecasting Accuracy of the McGraw-Hill Anticipatory Data,Richard D. Rippe & Maurice Wilkinson,13,1
348,69,Comparison of Several Algorithms for Computing Sample Means and Variances,Robert F. Ling,57,19
348,69,A Regression Method for Estimating Population Changes of Local Areas,Eugene P. Ericksen,15,14
348,69,"Interstate Migration and the Tiebout Hypothesis: An Analysis According to Race, Sex and Age",Richard J. Cebula,12,16
348,69,Empirical Bayes Methods Applied to Estimating Fire Alarm Probabilities,Grace M. Carter & John E. Rolph,20,41
348,69,An Errors-In-Variables Analysis of Managerial Role Performance,"Richard D. Warren, Joan Keller White & Wayne A. Fuller",17,14
348,69,Comparative Robustness of Six Tests in Multivariate Analysis of Variance,Chester L. Olson,39,100
348,69,Adaptive Robust Procedures: A Partial Review and Some Suggestions for Future Applications and Theory,Robert V. Hogg,44,160
348,69,Comment,H. Leon Harter,14,0
348,69,Comment,Joseph L. Gastwirth,14,0
348,69,Comment,Peter J. Huber,15,4
348,69,Rejoinder,Robert V. Hogg,14,1
348,69,Distribution of Residual Autocorrelations in Multiple Autoregressive Schemes,Ratnam V. Chitturi,16,20
348,69,A Simple Test for Serial Correlation in Regression Analysis,G. D. A. Phillips & A. C. Harvey,17,14
348,69,Bivariate Probit Analysis: Minimum Chi-Square Methods,Takeshi Amemiya,28,17
348,69,Partition Regression,Scott B. Guthery,17,20
348,69,Linear Discriminant Functions for Stationary Time Series,R. H. Shumway & A. N. Unger,13,25
348,69,Bias of Two Classification Procedures in a Dichotomous Population,Cary T. Isaki,9,0
348,69,Sensitivity Analysis of the Fixed Point Vector of Transition Matrices,George H. Worm,10,4
348,69,Finite Horizon Behavior of Policies for Two-Arm Bandits,B. L. Fox,11,4
348,69,Estimation of Reliability in a Multicomponent Stress-Strength Model,G. K. Bhattacharyya & Richard A. Johnson,28,38
348,69,Alternative Analyses for the Singly-Ordered Contingency Table,Gary Simon,14,33
348,69,Iterative Instrumental Variables Method and Estimation of a Large Simultaneous System,M. Dutta & E. Lyttkens,12,5
348,69,Some Results on the Estimation of Variance Components by MINQUE,R. M. Pringle,11,1
348,69,Errors in Variables: A Consistent Estimator with Smaller MSE in Finite Samples,Martin Feldstein,16,8
348,69,On Unbiased Estimation for Randomized Response Models,Pranab Kumar Sen,16,2
348,69,Estimation of the Distribution Function of a Continuous Type Random Variable through Randomized Response,W. Kenneth Poole,19,11
348,69,Asymptotic Normality of a New Nonparametric Statistic for Use in Organ Transplant Studies,John Crowley,10,4
348,69,An Iterative Procedure for Estimating the Mode,Tim Robertson & J. D. Cryer,15,11
348,69,The Rank-Frequency Form of Zipf's Law,Bruce M. Hill,28,27
348,69,An Algorithm for Determining the Asymptotically Best Linear Estimate of the Mean from Multiply Censored Logistic Data,Lai K. Chan & Smiley W. Cheng,11,5
348,69,"A Continuous, Bivariate Exponential Extension",Henry W. Block & A. P. Basu,23,45
348,69,A Note on the Minimum χ21 Estimate and a L.A.M.S.T. χ2 in the “No Interaction” Problem,Joseph Berkson & B. N. Nagnur,9,0
348,69,Book Reviews,,8,0
348,69,Editorial Board Page,,7,0
347,69,The Retail Price of Heroin: Estimation and Applications,George F. Brown Jr. & Lester P. Silverman,16,23
347,69,Forecasting Births in Post-Transition Populations: Stochastic Renewal with Serially Correlated Fertility,Ronald Demos Lee,15,26
347,69,Seasonality in Regression,Christopher A. Sims,33,36
347,69,Estimating the Parameters of a Distributed Lag Model from Cross-Section Data: The Case of Hospital Admissions and Discharges,Charles R. Nelson & G. William Schwert,12,3
347,69,Unbiased Estimators of Long-Run Expected Rates of Return,Marshall E. Blume,23,25
347,69,Time Series Realizations Obtained According to an Experimental Design,"A. R. Gallant, Thomas M. Gerig & J. W. Evans",11,2
347,69,Predictive Modeling of Multivariable and Multivariate Data,Martin W. Gillo & Maynard W. Shelly,18,9
347,69,"Chi-Square Approximations for Exponential Parameters, Prediction Intervals and Beta Percentiles",Nancy R. Mann & Frank E. Grubbs,12,10
347,69,The Linear Model Formulation of a Multitype Branching Process Applied to Population Dynamics,Manfred Deistler & Gustav Feichtinger,11,1
347,69,A Decision-Theoretic Approach to Defining Variables Sampling Plans for Finite Lots: Single Sampling for Exponential and Gaussian Processes,Kenneth W. Fertig & Nancy R. Mann,17,6
347,69,A Note on the Asymptotic Aspect of the Treatment of Missing Values in Discriminant Analysis,Linda S. Chan & Olive Jean Dunn,10,6
347,69,Analysis of Repeated Surveys Using Time Series Methods,A. J. Scott & T. M. F. Smith,15,23
347,69,A Modification of the Almon Distributed Lag,Peter Schmidt,17,5
347,69,A Tale of Two Regressions,Allan R. Sampson,17,28
347,69,Probabilities for the Size of Largest Clusters and Smallest Intervals,Sylvan R. Wallenstein & Joseph I. Naus,14,13
347,69,Approximate Evaluation Techniques for the Single-Link and Complete-Link Hierarchical Clustering Procedures,Lawrence Hubert,21,41
347,69,"Graphs Implied by the Jardine-Sibson Overlapping Clustering Methods, Bk",F. James Rohlf,14,2
347,69,The Bayes/Non-Bayes Compromise and the Multinomial Distribution,Irving John Good & James Flinn Crook,23,19
347,69,To Pool or Not to Pool in Hypothesis Testing,Arthur Cohen,10,4
347,69,A Preliminary Test Procedure in Life Testing,Samir K. Bhattacharya & Vishnu K. Srivastava,12,9
347,69,EDF Statistics for Goodness of Fit and Some Comparisons,M. A. Stephens,326,695
347,69,Some Nonparametric Tests of Randomness,Khursheed Alam,13,5
347,69,Choosing a Prior for a Binomial Testing Problem with Incomplete Knowledge,Glen Meeden,9,0
347,69,Some Properties of the Logistic Model for Dichotomous Response,Lalitha Sanathanan,12,2
347,69,"Replicated Paired Comparisons between Two Objects: The (k,r)-Series",Stephen L. George,11,0
347,69,"An Analysis of Variance for Categorical Data, II: Small Sample Comparisons with Chi Square and other Competitors",Barry H. Margolin & Richard J. Light,21,34
347,69,Variance Component Testing in Unbalanced Nested Designs,W. B. Cummings & D. W. Gaylor,16,8
347,69,Nonorthogonal Analysis of Variance Using Iterative Improvement and Balanced Residuals,William J. Hemmerle,10,6
347,69,A Note on Estimation in Lognormal Models,I. G. Evans & S. A. Shaban,18,6
347,69,Lower Confidence Limits for Series System Reliability from Binomial Subsystem Data,Alan Winterbottom,20,16
347,69,Approximate Confidence Limits on the Mean of X + Y Where X and Y Are Two Tabled Independent Random Variables,W. G. Howe,55,0
347,69,Confidence Interval Estimation for Means after Data Transformations to Normality,Charles E. Land,19,12
347,69,The Up-and-Down Method for Small Samples with Extreme Value Response Distributions,R. E. Little,3,2
347,69,Truncated Version of a Play-the-Winner Rule for Choosing the Better of Two Binomial Populations,James E. Kiefer & George H. Weiss,11,5
347,69,Probabilities for a Generalized Birthday Problem,Joseph Naus,21,43
347,69,Regression in the Nondifferentiable Bivariate Extreme Models,J. Tiago de Oliveira,10,2
347,69,A Characterization of Population Weighted-Symmetry and Related Results,Douglas A. Wolfe,10,6
347,69,On Characterization of Some Distributions by Truncation Properties,Andre G. Laurent,15,6
347,69,Book Reviews,,9,0
347,69,Technical Reports Available,,8,0
347,69,Corrigenda,,8,0
347,69,Editorial Board Page,,7,0
346,69,Factors Affecting Labor Productivity in Post Offices,Edmund H. Mantell,10,0
346,69,A Theory of Rational Random Behavior,Henri Theil,12,4
346,69,A Stochastic Model of Elections in Two-Party Systems,Richard E. Quandt,10,2
346,69,Modeling of Continuous Stochastic Processes from Discrete Observations with Application to Sunspots Data,M. S. Phadke & S. M. Wu,17,38
346,69,On the Testing of Regression Disturbances for Normality,Cliff J. Huang & Ben W. Bolch,21,19
346,69,Classification Based on Dichotomous and Continuous Variables,P. C. Chang & A. A. Afifi,13,30
346,69,The Detection of Errors in Multivariate Data Using Principal Components,Douglas M. Hawkins,20,23
346,69,A Model for Quadrat Sampling with “Visibility Bias”,R. Dennis Cook & Frank B. Martin,16,4
346,69,Empirical Evidence on the Functional Form of the Earnings-Schooling Relationship,James Heckman & Solomon Polachek,42,54
346,69,"The Retrospective Bias in Unemployment Reporting by Sex, Race and Age",Richard D. Morgenstern & Nancy S. Barrett,16,17
346,69,Disaggregated Spatial-Temporal Analyses of Residential Sales Prices,Paul B. Slater,12,0
346,69,Robust Tests for the Equality of Variances,Morton B. Brown & Alan B. Forsythe,249,642
346,69,Tables of Critical Values for the Pratt Matched Pair Signed Rank Statistic,Alton J. Rahe,10,28
346,69,Some Reasons for Not Using the Yates Continuity Correction on 2×2 Contingency Tables,W. J. Conover,23,14
346,69,Comment,"C. Frank Starmer, James E. Grizzle & P. K. Sen",10,3
346,69,Comment and a Suggestion,Nathan Mantel,12,5
346,69,Comment,Olli S. Miettinen,14,5
346,69,Rejoinder,W. J. Conover,8,0
346,69,The Influence Curve and its Role in Robust Estimation,Frank R. Hampel,241,535
346,69,Sequential Tests of Composite Hypotheses,Nanak Chand,19,3
346,69,Critical Power Function and Decision Making,Lalitha Sanathanan,17,2
346,69,A Procedure for Truncating SPRT's,Richard Madsen,11,7
346,69,Comparison of Failure Rates Using Rank Tests,M. S. Chikkagoudar & J. J. Shuster,11,8
346,69,Early Decision in a Censored Wilcoxon Two-Sample Test for Accumulating Survival Data,Max Halperin & James Ware,15,30
346,69,Locally Asymptotically Most Stringent Tests for Paired Comparison Experiments,Robert J. Beaver,12,1
346,69,Simultaneous Statistical Inference on Interactions in Two-Way Analysis of Variance,Dan Bradu & K. R. Gabriel,15,16
346,69,Bidirectional Unbiased Procedures,Juliet Popper Shaffer,13,3
346,69,Stability of Two Hierarchical Grouping Techniques Case I: Sensitivity to Data Errors,Frank B. Baker,14,13
346,69,Optimal Procedures for Some Constrained Selection Problems,David A. Harville,9,4
346,69,Nonparametric Estimation of Location,M. V. Johns Jr.,13,8
346,69,Experimental Design Considerations Based on a New Approach to Mean Square Error Estimation of Response Surfaces,Lawrence L. Kupper & Edward F. Meydrech,10,7
346,69,On the Bias and Mean Square Error of the Ratio Estimator,Isidoro P. David & B. V. Sukhatme,34,7
346,69,Characterizing the Estimation of Parameters in Incomplete-Data Problems,Donald B. Rubin,24,70
346,69,Equivalence between Fixed Sample Size Rule and Hoel's Inverse Sampling Rule for Play-the-Winner,Meena Pradhan & Y. S. Sathe,14,3
346,69,Recursive Solutions for the Estimation of a Stochastic Parameter,B. J. N. Blight,10,1
346,69,The Effect of Grouping on the Variance and Bias of the Maximum Likelihood Estimator of the Poisson Parameter—Some Monte Carlo Results,Walter H. Carter Jr. & Raymond H. Myers,10,2
346,69,Optimal Sampling Schemes for Estimating System Reliability by Testing Components—I: Fixed Sample Sizes,Donald A. Berry,12,2
346,69,Simplified Expressions for Obtaining Approximately Optimum System-Reliability Confidence Bounds from Exponential Subsystem Data,Nancy R. Mann,14,2
346,69,An Improved Method of Estimating the Correlated Response Variance,Ivan P. Fellegi,14,13
346,69,Combining Unbiased Estimates of a Parameter Known to Be Positive,T. W. F. Stroud,9,1
346,69,Estimates of Parameters in a Probability Model for First Livebirth Interval,C. M. Suchindran & P. A. Lachenbruch,10,2
346,69,On the Existence of the Exact Moments of Three LIML Structural Variance Estimators for the Case of Two Included Endogenous Variables,James B. McDonald,9,1
346,69,Confidence Sets for Binary Response Models,Robert A. Agnew,12,0
346,69,A Bivariate t-Distribution with Applications,"William G. Bulgren, Richard L. Dykstra & John E. Hewett",17,5
346,69,A Family of Random Variables Closed under Reciprocation,Sam C. Saunders,11,25
346,69,An Inequality for Positively Correlated Variables,J. B. Kruskal & H. S. Witsenhausen,10,1
346,69,Stochastic Ordering and Kurtosis Measure,Mukhtar M. Ali,14,8
346,69,Prediction of Missing Observations in the Time Series of an Economic Variable,H. E. Doran,13,5
346,69,Discriminant Functions When Covariance Matrices are Unequal,Sidney Marks & Olive Jean Dunn,24,70
346,69,On the Sampling Properties of Bayesian Point Estimators,D. N. Joanes & H. W. Peers,9,0
346,69,An Asymptotic Expansion of the Distribution of the Limited Information Maximum Likelihood Estimate of a Coefficient in a Simultaneous Equation System,T. W. Anderson,17,8
346,69,Book Reviews,,8,0
346,69,Corrigenda,,7,0
346,69,Editorial Board Page,,7,0
345,69,Expected Utility of Uncertain Ventures,Clifford Hildreth,10,0
345,69,Seasonal Adjustment and Relations between Variables,Kenneth F. Wallis,36,86
345,69,Modeling Jury Verdicts in the American Legal System,Alan E. Gelfand & Herbert Solomon,13,8
345,69,Measuring the Demand for Court Services: A Critique of the Federal District Courts Case Weights,Robert W. Gillespie,9,1
345,69,The Development of Statistical Indices for Detecting Cheaters,William H. Angoff,19,26
345,69,An Empirical Bayes Approach to Scoring Multiple-Choice Tests in the Misinformation Model,George T. Duncan,15,7
345,69,A Bayesian Approach to Second Guessing “Undecided” Respondents,S. James Press & Chung-Fang Yang,14,1
345,69,Multiplicity Estimation of Proportions Based on Ratios of Random Variables,Monroe G. Sirken & Paul S. Levy,16,10
345,69,Survivorship Analysis of Heart Transplant Data,"Bruce W. Turnbull, Byron Wm. Brown Jr. & Marie Hu",84,25
345,69,Evaluation of Response-Time Data Involving Transient States: An Illustration Using Heart-Transplant Data,Nathan Mantel & David P. Byar,47,120
345,69,Permutation Tests Applied to Antibiotic Drug Resistance,R. K. Tsutakawa & S. L. Yang,11,0
345,69,Applications of a Multinomial Capture-Recapture Model to Epidemiological Data,Janet T. Wittes,18,19
345,69,"Wages, Prices and Unemployment: Distributed Lag Estimates",Thomas F. Cargill & Robert A. Meyer,11,4
345,69,On the Stable Paretian Behavior of Stock-Market Prices,"Der-Ann Hsu, Robert B. Miller & Dean W. Wichern",17,58
345,69,The Non-Null Distribution of the Spearman Rank Correlation Coefficient,Helena Chmura Kraemer,20,6
345,69,Reaching a Consensus,Morris H. Degroot,323,470
345,69,False Models and Post-Data Model Construction,Edward E. Leamer,16,13
345,69,Sequential Tests Involving Two Populations,Herbert Robbins & David O. Siegmund,14,25
345,69,Hypothesis Testing Procedures for Separate Families of Hypotheses,Alan R. Dyer,14,8
345,69,On Finding a Single Defective in Binomial Group Testing,F. K. Hwang,9,12
345,69,Isolating a Single Defective Using Group Testing,M. R. Garey & F. K. Hwang,9,15
345,69,The Exact Finite Sample Distribution of Theil's Compatibility Test Statistic and its Application,J. S. Mehta & P. A. V. B. Swamy,9,1
345,69,A Group-Testing Procedure in the Presence of Test Error,Lois E. Graff & Robert Roeloffs,12,8
345,69,Interaction Test for Three-Dimensional Contingency Tables,Kashinath D. Patil,11,2
345,69,Nonparametric Estimation of a Survivorship Function with Doubly Censored Data,Bruce W. Turnbull,57,105
345,69,Power of the Noncentral F-Test: Effect of Additional Variates on Hotelling's T2-Test,Somesh Das Gupta & Michael D. Perlman,16,0
345,69,Testing for Homogeneity of k Independent Negative Binomial Distributed Random Variables,E. Meelis,10,2
345,69,Some Finite Sample Results in the Context of Two Seemingly Unrelated Regression Equations,Nagesh S. Revankar,24,34
345,69,Estimation of Seemingly Unrelated Regressions with Random Coefficients,Balvir Singh & Aman Ullah,20,9
345,69,Notes on a Canonical Form Theorem Useful in Regression Designs,John Conlisk,11,1
345,69,The Distribution of an Arbitrary Studentized Residual and the Effects of Updating in Multiple Regression,R. J. Beckman & H. J. Trussell,24,17
345,69,A Mean Square Error Comparison of Certain Median Response Estimates for the Up-and-Down Method with Small Samples,R. E. Little,14,4
345,69,A Modified Spearman Estimator of a Location or Scale Parameter,J. D. Church & E. Benton Cobb,12,0
345,69,A Consistent Estimator of the Slope in a Regression Model with Errors in the Variables,Edi Karni & Ishay Weissman,14,3
345,69,A Cross-Validation Approach to Sample Size Determination for Regression Models,Colin N. Park & Arthur L. Dudycha,15,17
345,69,Utilizing Initial Estimates in Estimating the Coefficients in a Linear Model,"Lawrence S. Mayer, Jagbir Singh & Thomas A. Willke",10,1
345,69,"Some Relationships between BLUEs, WLSEs and SLSEs",James Lowerre,14,1
